session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
oddball_flex,flex,Cz,central,3,11.700720722106537,19.794495509107932,0.0,0.0
oddball_flex,flex,O1,occipital,3,11.700720722106537,44.702553230149775,0.4329004329004329,0.2601623676291758
oddball_flex,flex,PO9,occipital,3,11.700720722106537,45.36903524216626,10.606060606060606,1.8211365734042304
oddball_flex,flex,P3,parietal,3,11.700720722106537,19.76046881899415,0.0,0.0
oddball_flex,flex,P7,parietal,3,11.700720722106537,27.244916072239924,0.0,0.0
oddball_flex,flex,CP1,centro-parietal,3,11.700720722106537,26.422971364142377,0.0,0.0
oddball_flex,flex,CP5,centro-parietal,3,11.700720722106537,17.002795886972045,0.0,0.0
oddball_flex,flex,C4,central,3,11.700720722106537,16.954282608154145,0.4329004329004329,0.0
oddball_flex,flex,T8,central,3,11.700720722106537,26.43401550684328,0.0,0.0
oddball_flex,flex,FC2,fronto-central,3,11.700720722106537,16.91458027674593,0.0,0.0
oddball_flex,flex,FC6,fronto-central,3,11.700720722106537,23.127558423751513,0.0,0.0
oddball_flex,flex,FT10,fronto-central,3,11.700720722106537,47.799381982414275,4.978354978354979,1.3008118381458789
oddball_flex,flex,F4,frontal,3,11.700720722106537,25.218862080069684,0.0,0.0
oddball_flex,flex,F8,frontal,3,11.700720722106537,23.19398560632647,0.0,0.0
oddball_flex,flex,Fp2,prefrontal,3,11.700720722106537,17.437788712779472,0.0,0.0
oddball_flex,flex,Oz,occipital,3,11.700720722106537,33.16870298553256,1.0822510822510822,0.0
oddball_flex,flex,Fz,frontal,3,11.700720722106537,21.90990519862057,0.21645021645021645,0.0
oddball_flex,flex,O2,occipital,3,11.700720722106537,33.14577848751813,2.5974025974025974,0.0
oddball_flex,flex,PO10,occipital,3,11.700720722106537,47.61458090312427,17.0995670995671,2.8617860439209335
oddball_flex,flex,P4,parietal,3,11.700720722106537,19.36495842930425,0.0,0.0
oddball_flex,flex,P8,parietal,3,11.700720722106537,26.55954621887777,0.0,0.0
oddball_flex,flex,CP2,centro-parietal,3,11.700720722106537,38.928311538320045,0.0,0.0
oddball_flex,flex,CP6,centro-parietal,3,11.700720722106537,23.200304485043738,0.0,0.0
oddball_flex,flex,C3,central,4,15.544474179275857,15.494286258509069,0.0,0.0
oddball_flex,flex,T7,central,4,15.544474179275857,25.305914571110165,0.4357298474945534,0.0
oddball_flex,flex,FC1,fronto-central,4,15.544474179275857,22.600077343992034,0.0,0.0
oddball_flex,flex,FC5,fronto-central,4,15.544474179275857,24.484564775986854,0.0,0.0
oddball_flex,flex,FT9,fronto-central,4,15.544474179275857,33.520119380579786,0.0,0.0
oddball_flex,flex,F3,frontal,4,15.544474179275857,24.553543112385356,0.0,0.0
oddball_flex,flex,F7,frontal,4,15.544474179275857,26.375968755928767,0.0,0.0
oddball_flex,flex,Fp1,prefrontal,4,15.544474179275857,34.436453763451304,0.0,0.0
oddball_flex,flex,Pz,parietal,4,15.544474179275857,19.51352537595184,0.0,0.0
oddball_flex,flex,Cz,central,4,15.544474179275857,19.28074045212172,0.0,0.0
